DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-02-16,EQ,129.65,132.6,129.3,128.85,130.4,130.15,131.22,132.6,44.4,111266944,14600289172.5,259559,PNB
2024-02-15,EQ,124.9,129.3,123.6,122.95,128.95,128.85,127.15,129.3,44.4,102510609,13034450421.65,232546,PNB
2024-02-14,EQ,120.9,124.5,119.5,122.1,124.2,122.95,122.17,128.25,44.4,57158902,6982851772.5,167959,PNB
2024-02-13,EQ,118.3,123.5,115.7,118.25,121.7,122.1,120.7,128.25,44.4,76885208,9280019240.6,212797,PNB
2024-02-12,EQ,124.85,125.55,117.1,123.9,117.5,118.25,120.9,128.25,44.4,65062679,7866147165.75,180551,PNB
2024-02-09,EQ,124.5,124.6,117.8,124.3,123.9,123.9,121.43,128.25,44.4,69128606,8394353773.15,218544,PNB
2024-02-08,EQ,125.65,127.25,123.05,123.9,124.4,124.3,125.28,128.25,44.4,83500656,10460678488.55,204369,PNB
2024-02-07,EQ,123.7,125.75,122.85,121.9,124.4,123.9,124.31,128.25,44.4,65831369,8183758754.45,200654,PNB
2024-02-06,EQ,122.4,122.85,119.1,121.65,122.7,121.9,121.02,128.25,44.4,53028325,6417545951.65,215838,PNB
2024-02-05,EQ,125.9,126.8,120.8,125.4,122,121.65,124.33,128.25,44.4,92993076,11562201873.75,302589,PNB
2024-02-02,EQ,121.7,128.25,120.1,118.85,124.9,125.4,124.55,128.25,44.4,167566465,20870194579.45,413791,PNB
